subj,lineup,exposure,target,resp_expec,resp_given,conf,conf_cat,age,suspect_id,filler_id,no_id,is_target,say_target,is_corr
208,W2,30s,present,7,6,1,low,29,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
135,W1,30s,present,3,3,8,high,20,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
7,D1,15s,present,3,6,6,med,26,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
67,D1,60s,present,7,1,6,med,37,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
153,D1,60s,present,7,7,8,high,29,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
154,D1,60s,present,3,1,6,med,21,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
10,W2,30s,absent,0,0,7,high,30,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
50,YO,60s,present,3,3,5,med,22,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
242,D2,15s,present,3,3,7,high,20,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
139,D1,30s,present,7,7,2,low,18,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
4,D1,30s,present,7,9,7,high,30,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
127,W1,60s,absent,0,0,9,high,28,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
201,YO,30s,absent,0,0,1,low,21,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
73,W2,60s,absent,0,0,3,low,22,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
245,W2,60s,present,7,1,7,high,20,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
219,W2,60s,present,7,4,8,high,39,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
43,D3,60s,absent,0,5,2,low,32,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
182,D3,60s,absent,0,9,1,low,20,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
212,W2,15s,absent,0,0,3,low,21,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
252,W2,15s,absent,0,0,8,high,32,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
117,W1,60s,absent,0,4,2,low,37,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
2,YO,60s,absent,0,2,4,med,32,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
218,YO,60s,absent,0,4,2,low,32,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
126,YO,15s,absent,0,8,6,med,20,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
