ID,sex,age,exposure,order,TP,parade_response,acc,lineup,corpus,parade,rt,conf,conf_rt
60017c41a567db04b8c99c66,Male,25,30s,0,Absent,0,1,YO,YORVIS,nine,7664.35,8,5705.935
5d5a75c570a7c1000152623e,Male,35,30s,0,Absent,1,0,W1,WYRED,nine,9456.845,4,6507.835
5a55c8d276d1c60001aadcb0,Female,38,15s,3,Present,3,1,W2,WYRED,nine,4571.725,10,3396.38
60070418cbf817133cb398bc,Male,21,15s,3,Present,1,0,W2,WYRED,nine,13429.425,7,13209.1
5dd03089370810119f26a996,Female,27,30s,7,Present,5,0,YO,YORVIS,nine,12099.425,0,4898.32
59efd1e377860e0001513786,Female,29,60s,3,Present,1,0,W1,WYRED,nine,8063.07,5,5205.39
5a11a7d0f2e3460001edbe35,Male,29,15s,7,Present,3,0,D2,DYVIS,nine,6810,6,6008
5b1faa1354eabf00013e67ec,Male,36,15s,0,Absent,7,0,D3,DYVIS,nine,5459.86,4,6048.67
5c1041a209e7c20001f1f128,Male,33,60s,0,Absent,0,1,D2,DYVIS,nine,9409.59,8,6055.145
5f2c5609a19da50ff2dff067,Female,24,15s,0,Absent,2,0,W1,WYRED,nine,3257.705,4,4636.785
5fa6a3ded5f64b2f2c12b521,Female,22,30s,7,Present,8,0,D3,DYVIS,nine,10489.115,6,3425.645
5fe87a418422b425f33f44a7,Female,33,15s,0,Absent,0,1,W1,WYRED,nine,10250.455,5,13184.4
5e9adc3d7848b717401fb4c2,Female,32,15s,0,Absent,3,0,D1,DYVIS,nine,5202.39,8,8652.43
59e6493477860e0001512e26,Male,40,15s,0,Absent,4,0,D2,DYVIS,nine,4091.165,7,3159.505
5ccdb020ed1c4f001649810e,Male,31,60s,3,Present,3,1,D2,DYVIS,nine,15076.755,4,5794.565
5f4f6ed945ffaa011f35fb88,Male,23,30s,0,Absent,6,0,D3,DYVIS,nine,8725.55,7,7177.02
5ed690f3b27be20eaf8300c7,Female,21,30s,0,Absent,2,0,W1,WYRED,nine,5926.81,5,4313.795
5fbfffc4e214a60ab1b745fd,Female,23,15s,3,Present,1,0,W1,WYRED,nine,4037.565,6,5089.47
600534ebc2755738396c8490,Male,30,30s,0,Absent,6,0,D3,DYVIS,nine,12364.575,2,4556.545
5fba736741a525a075d4dc48,Male,38,15s,7,Present,2,0,W2,WYRED,nine,6816.3,7,6800.245
5fd16c5b6a8ad0161dd6c44e,Female,21,15s,3,Present,3,1,D1,DYVIS,nine,7710.46,7,7435.865
5fb2edc8c530769b9eb5afc5,Female,35,15s,3,Present,3,1,D1,DYVIS,nine,8731.43,6,8592.145
5ec120a9b585e03ee3b1ff4c,Male,37,60s,7,Present,7,1,D1,DYVIS,nine,9555.375,7,4858.515
5ffafdf0223a2e4d377fdefb,Female,24,60s,3,Present,3,1,D1,DYVIS,nine,17887.79,3,15720.46
600764a8e3dca923fa2cfe10,Female,24,30s,0,Absent,4,0,W2,WYRED,nine,5770.57,6,6423.03
5fcf463c3ee19825905a3c68,Male,32,60s,3,Present,1,0,YO,YORVIS,nine,6580.495,4,4160.08
5e22ba9ced7a20578dfb1ee4,Female,31,30s,7,Present,7,1,D1,DYVIS,nine,6159.575,6,4089.815
5fa6976d5ff13f2d6a4f1a2d,Male,22,15s,0,Absent,1,0,D3,DYVIS,nine,7702.78,7,5187.865
5e1752b587b37c0605b26aca,Male,20,30s,0,Absent,5,0,YO,YORVIS,nine,10622.885,3,12550.14
5b9972d9d3ccc00001fec10c,Male,33,60s,7,Present,5,0,W2,WYRED,nine,2861.05,7,4071.3
5d45bde698c84000164e1200,Female,35,60s,0,Absent,7,0,D3,DYVIS,nine,9142,6,4415
5ec2c25677e7ea0c69b51567,Male,32,15s,0,Absent,3,0,W2,WYRED,nine,12015.33,6,5362.83
5f6fa838ebf785131f2362ee,Male,27,60s,0,Absent,0,1,YO,YORVIS,nine,10562.44,7,6716.035
5ed0f2aa83f09c0008dd8b57,Female,32,15s,0,Absent,1,0,YO,YORVIS,nine,17814.35,8,38064.19
5ffb2c0b07b89b53f4ac3a39,Male,30,15s,0,Absent,5,0,D2,DYVIS,nine,6388,6,5051
